item
digniti
revolut
democrat
truth
faith
justic
happi
liberti
constitut
desir
conscienc
dictatorship
equal
right
ideolog
monarchi
sens
plural
democraci
social
autonomi
sovereignti
human
polit
liber
elect
imperi
tyranni
societi
religion
ideal
capit
socialist
affair
govern
life
embrac
freedom
struggl
independ
commun
